Model,Accuracy,Accuracy Std,Macro F1,Macro F1 Std,Weighted F1,Weighted F1 Std
Random Forest,0.8916543109200088,0.01037309077570179,0.6548635135785317,0.027729317270173606,0.8930939812397283,0.009321150683874917
Gradient Boosting,0.9220976351100898,0.007803251821788725,0.6831049122818362,0.029873566137407312,0.9149657599674871,0.010934866226041062
SVM (RBF),0.724905478538068,0.027594927684538154,0.5606156206192199,0.04292289515052945,0.7843789281134084,0.021398528742993004
